Building Code,Property Name,Bldg No,ST No,Zone No,Zone Name,City Name,Ownership No,Ownership Type,Pin No,Location
B45,RajMahal,23423,B45,32,demo,test1,32423,title_deed,32423,Et eiusmod ut dolor
B4534,Mount Abu,7657,B4534,322,work1,demo2,5656,title_deed,234234,sdgsdgsdg
G43,Planet Town,978867,G43,3232,demo,test1,7656,title_deed,3453,dfgdfdfgffd
G76,AqaryClick Demo,43534,G76,23423,demo,test1,32423,title_deed,435634,sdfsdfsd
B0010,Al Aziziya 1 (العزيزية 1),90,B0010,,,,143021,,55104034,
B344444,Ajiz Demo,54543,B34,34,,demo2,4545,title_deed,45345,dshhsd
285423,RajMahal,B45,285423,32,demo,,32423,title_deed,32423,Et eiusmod ut dolor
7657,Mount Abu,B4534,7657,322,work1,,5656,title_deed,234234,sdgsdgsdg
978867,Planet Town,G43,978867,3232,demo,,7656,title_deed,3453,dfgdfdfgffd
43534,AqaryClick Demo,G76,43534,23423,demo,,32423,title_deed,435634,sdfsdfsd
903,Al Aziziya 1 (العزيزية 1),B0010,903,,,,143021,,55104034,
55543,Ajiz Demo,B34,55543,34,,,4545,title_deed,45345,dshhsd
23423,RajMahal,B45,23423,32,demo,,32423,title_deed,32423,Et eiusmod ut dolor
90,Al Aziziya 1 (العزيزية 1),B0010,90,,,,143021,,55104034,
54543,Ajiz Demo,B34,54543,34,,,4545,title_deed,45345,dshhsd
B345,Ajiz Demo,55543,B345,34,,,4545,title_deed,45345,dshhsd
33544,Ajiz Demo,B345,551543,34,,,4545,title_deed,45345,dshhsd
